item_date,customer,country,status,item type,application,width,product_ref,delivery date,quantity_tons_log,thickness_log,selling_price_log,Date_difference,item_date_day,item_date_month,item_date_year
2021-03-23,30198507.0,26.0,1.0,5.0,10.0,1040.0,1693867550.0,2021-01-01,5.701614458206003,0.6931471805599453,6.876264611890766,-81,23,3,2021
2021-03-23,30356624.0,84.0,1.0,5.0,79.0,1250.0,1668701718.0,2021-01-01,4.84128301861446,0.4054651081081644,6.7464121285733745,-81,23,3,2021
2021-03-23,30356624.0,84.0,1.0,5.0,79.0,1500.0,1668701718.0,2021-01-01,4.730350378208523,-0.35667494393873245,6.891625897052253,-81,23,3,2021
2021-03-23,30356624.0,84.0,1.0,5.0,79.0,1500.0,1668701718.0,2021-01-01,4.731366374284616,-0.10536051565782628,6.85751406254539,-81,23,3,2021
2021-03-23,30267349.0,84.0,4.0,5.0,10.0,1275.0,1668701718.0,2021-01-01,2.0935802020938508,0.0,6.740767555753366,-81,23,3,2021
2021-03-23,30161289.0,26.0,1.0,3.0,10.0,1220.0,1670798778.0,2021-01-01,3.32111099331241,0.9162907318741551,6.422217062276239,-81,23,3,2021
2021-03-23,30199179.0,26.0,1.0,2.0,10.0,1121.0,628377.0,2021-01-01,1.9717901427014835,-0.2876820724517809,6.422217062276239,-81,23,3,2021
2021-03-23,30199179.0,26.0,1.0,2.0,10.0,1286.0,628377.0,2021-01-01,6.418472466859285,-0.6733445532637656,6.513230110912307,-81,23,3,2021
2021-03-23,30199179.0,26.0,1.0,2.0,10.0,1120.0,628377.0,2021-01-01,-0.43415225039812677,-0.020202707317519466,6.422217062276239,-81,23,3,2021
2021-03-23,30199179.0,26.0,1.0,2.0,10.0,1116.0,164141591.0,2021-01-01,0.7119235476076452,0.6931471805599453,6.453624998892692,-81,23,3,2021
2021-03-23,30199179.0,26.0,1.0,2.0,10.0,1487.0,164141591.0,2021-01-01,7.011536033032256,0.9162907318741551,6.461468176353717,-81,23,3,2021
2021-03-23,30199179.0,26.0,1.0,2.0,10.0,1250.0,164141591.0,2021-01-01,1.451681710416512,0.6931471805599453,6.440946540632921,-81,23,3,2021
2021-03-23,30199179.0,26.0,1.0,2.0,10.0,970.0,1670798778.0,2021-01-01,2.0909188363281985,1.6094379124341003,6.422217062276239,-81,23,3,2021
2021-03-23,30199179.0,26.0,1.0,2.0,10.0,1250.0,1670798778.0,2021-01-01,1.754786914777818,0.4054651081081644,6.422217062276239,-81,23,3,2021
2021-03-23,30199179.0,26.0,1.0,2.0,10.0,1370.0,1670798778.0,2021-01-01,5.704238732554734,0.6931471805599453,6.422217062276239,-81,23,3,2021
2021-03-23,30206203.0,26.0,1.0,3.0,41.0,1250.0,1668701718.0,2021-03-01,3.4239188349076177,-0.12783337150988489,7.030857476116121,-22,23,3,2021
2021-03-23,30206203.0,26.0,1.0,3.0,41.0,1250.0,1668701718.0,2021-03-01,3.2713416096601544,0.0,6.9975959829819265,-22,23,3,2021
2021-03-23,30198577.0,27.0,1.0,3.0,10.0,1250.0,1668701718.0,2021-03-01,4.645523153092182,0.4054651081081644,6.652863029353347,-22,23,3,2021
2021-03-23,30198577.0,27.0,1.0,3.0,10.0,1250.0,1668701718.0,2021-03-01,4.607888999662361,-0.2231435513142097,6.577861357721047,-22,23,3,2021
2021-03-23,30198577.0,27.0,1.0,3.0,10.0,1250.0,1668701718.0,2021-03-01,4.687799315525516,0.5877866649021191,6.570882962339584,-22,23,3,2021
2021-03-23,30200854.0,25.0,1.0,5.0,41.0,1064.0,611993.0,2021-01-01,2.0629356072826854,-1.1394342831883648,6.777646593635117,-81,23,3,2021
2021-03-23,30205061.0,26.0,6.0,3.0,10.0,1500.0,1668701718.0,2021-03-01,3.525597726406626,0.22314355131420976,6.887552571664617,-22,23,3,2021
2021-03-22,30160001.0,28.0,1.0,3.0,41.0,1600.0,628377.0,2020-07-01,3.113673136310578,-0.2231435513142097,6.422217062276239,-264,22,3,2021
2021-03-22,30160001.0,28.0,1.0,3.0,41.0,1690.0,628377.0,2020-07-01,3.3360473487893896,-0.2231435513142097,6.422217062276239,-264,22,3,2021
2021-03-22,30218244.0,84.0,1.0,5.0,41.0,1350.0,611993.0,2020-10-01,4.18268877195653,-0.5108256237659907,7.201968477125092,-172,22,3,2021
2021-03-22,30218244.0,84.0,1.0,5.0,41.0,1250.0,611993.0,2020-10-01,4.480863125410978,-0.5108256237659907,7.122995682533201,-172,22,3,2021
2021-03-22,30155929.0,25.0,1.0,5.0,41.0,1220.0,611993.0,2021-01-01,4.159183579768603,-0.8915981192837836,6.829793737512425,-80,22,3,2021
2021-03-22,30155929.0,25.0,1.0,5.0,41.0,1220.0,611993.0,2021-01-01,4.1241678176805125,-0.8915981192837836,6.876264611890766,-80,22,3,2021
2021-03-22,30155929.0,25.0,1.0,5.0,41.0,1220.0,611993.0,2021-01-01,4.12785910849863,-0.8915981192837836,6.884486652042782,-80,22,3,2021
2021-03-22,30399766.0,27.0,1.0,3.0,41.0,1250.0,611993.0,2021-01-01,3.293316520748958,-0.7985076962177716,6.814542897259958,-80,22,3,2021
2021-03-22,30149080.0,25.0,6.0,3.0,10.0,1500.0,1668701718.0,2021-03-01,4.656083462377948,0.4054651081081644,6.890609120147166,-21,22,3,2021
2021-03-22,30149080.0,25.0,6.0,3.0,10.0,1250.0,1668701718.0,2021-03-01,3.3198566329533055,-0.2876820724517809,6.955592608396297,-21,22,3,2021
2021-03-19,30202870.0,32.0,2.0,5.0,10.0,1235.0,640665.0,2020-01-01,1.0035369997414292,1.0986122886681098,6.422217062276239,-443,19,3,2021
2021-03-19,30197204.0,26.0,1.0,5.0,27.0,1590.0,1670798778.0,2021-01-01,4.464358927898709,0.5596157879354227,6.4425401664681985,-77,19,3,2021
2021-03-19,30394328.0,78.0,1.0,5.0,41.0,1250.0,611993.0,2021-03-01,5.014298996534825,-0.6931471805599453,6.950814768442584,-18,19,3,2021
2021-03-19,30346534.0,32.0,1.0,5.0,59.0,1400.0,640665.0,2021-01-01,1.5072803642395043,1.0116009116784799,6.422217062276239,-77,19,3,2021
2021-03-19,30346534.0,32.0,1.0,5.0,59.0,1416.0,640665.0,2021-01-01,1.4405480991790391,0.6151856390902335,6.422217062276239,-77,19,3,2021
2021-03-19,30206203.0,26.0,1.0,5.0,41.0,1250.0,611993.0,2021-01-01,4.13821032170637,-0.2876820724517809,6.84587987526405,-77,19,3,2021
2021-03-19,30267627.0,26.0,1.0,3.0,41.0,1235.0,1668701718.0,2021-03-01,3.2731235327550503,-0.4620354595965587,7.05617528410041,-18,19,3,2021
2021-03-19,30267627.0,26.0,1.0,3.0,41.0,1235.0,1668701718.0,2021-03-01,3.4858322029624556,-0.2876820724517809,7.0431599159883405,-18,19,3,2021
2021-03-19,30267627.0,26.0,1.0,3.0,41.0,1235.0,1668701718.0,2021-03-01,3.4726421264052765,-0.12783337150988489,7.023758954738443,-18,19,3,2021
2021-03-19,30267627.0,26.0,1.0,3.0,41.0,1235.0,1668701718.0,2021-03-01,3.5092994106358417,0.0,7.00033446027523,-18,19,3,2021
2021-03-19,30199280.0,26.0,1.0,3.0,42.0,1146.0,1668701718.0,2021-03-01,3.258753866933488,-0.6931471805599453,6.962243464266207,-18,19,3,2021
2021-03-18,30354217.0,26.0,1.0,5.0,69.0,1500.0,640405.0,2021-01-01,5.24155729653512,1.791759469228055,6.422217062276239,-76,18,3,2021
2021-03-18,30354217.0,26.0,1.0,5.0,69.0,1500.0,640405.0,2021-01-01,5.333336881436567,2.0794415416798357,6.422217062276239,-76,18,3,2021
2021-03-18,30356715.0,25.0,1.0,3.0,42.0,1477.0,611993.0,2021-01-01,3.439264778719982,0.2468600779315258,6.715383386334681,-76,18,3,2021
2021-03-18,30356715.0,25.0,1.0,3.0,42.0,1500.0,611993.0,2021-01-01,4.1200980362901385,0.3852624007906449,6.692083742506628,-76,18,3,2021
2021-03-18,30394328.0,78.0,6.0,5.0,41.0,1250.0,611993.0,2021-03-01,2.1838062961820377,-0.6931471805599453,6.955592608396297,-17,18,3,2021
2021-03-18,30356715.0,25.0,1.0,3.0,42.0,1498.0,611993.0,2021-01-01,3.210321550770163,-0.030459207484708574,6.7661917146603505,-76,18,3,2021
2021-03-18,30353306.0,107.0,2.0,3.0,56.0,1254.0,1721130331.0,2021-01-01,3.7416147175642096,-0.916290731874155,6.422217062276239,-76,18,3,2021
2021-03-18,30356715.0,25.0,1.0,3.0,42.0,1477.0,611993.0,2021-01-01,3.3678970947078493,0.23901690047049992,6.79794041297493,-76,18,3,2021
2021-03-18,30353306.0,107.0,3.0,3.0,56.0,1254.0,1721130331.0,2021-01-01,3.7797765857293277,-0.916290731874155,7.314791267533078,-76,18,3,2021
2021-03-18,30356715.0,25.0,1.0,3.0,42.0,1310.0,611993.0,2021-01-01,3.253807851275709,0.23901690047049992,6.714170529909472,-76,18,3,2021
2021-03-18,30353306.0,107.0,3.0,3.0,56.0,836.0,611993.0,2021-01-01,3.27858868998432,-0.7985076962177716,7.203405521083095,-76,18,3,2021
2021-03-18,30356715.0,25.0,1.0,3.0,42.0,1472.0,611993.0,2021-01-01,3.4824105256462623,-0.31471074483970024,6.70196036600254,-76,18,3,2021
2021-03-18,30202645.0,32.0,1.0,3.0,10.0,1226.0,611993.0,2021-02-01,2.807122687274972,-0.6539264674066639,7.065613363597717,-45,18,3,2021
2021-03-18,30356715.0,25.0,1.0,3.0,42.0,1498.0,611993.0,2021-01-01,3.1663658934146715,-0.030459207484708574,6.776506992372183,-76,18,3,2021
2021-03-18,30356715.0,25.0,1.0,3.0,42.0,1477.0,611993.0,2021-01-01,3.460944839902688,0.23901690047049992,6.71295620067707,-76,18,3,2021
2021-03-18,30201846.0,25.0,4.0,5.0,10.0,1250.0,1668701718.0,2021-03-01,3.4963064466988065,0.4054651081081644,6.878326468291325,-17,18,3,2021
2021-03-17,30198507.0,26.0,1.0,5.0,10.0,1185.0,164141591.0,2021-01-01,5.0730715413788525,0.7419373447293773,6.922643891475888,-75,17,3,2021
2021-03-17,30349574.0,32.0,1.0,3.0,59.0,1400.0,640665.0,2021-01-01,4.663441381845299,1.0116009116784799,6.422217062276239,-75,17,3,2021
2021-03-17,30349574.0,32.0,1.0,3.0,59.0,1416.0,640665.0,2021-01-01,3.99597451638219,0.6151856390902335,6.422217062276239,-75,17,3,2021
2021-03-17,30349574.0,32.0,1.0,3.0,59.0,1434.0,1670798778.0,2021-01-01,3.9995207976653626,0.6151856390902335,6.490723534502507,-75,17,3,2021
2021-03-17,30219767.0,26.0,1.0,5.0,56.0,1500.0,1670798778.0,2021-01-01,5.423832412576892,0.6931471805599453,6.467698726104354,-75,17,3,2021
2021-03-17,30196886.0,84.0,1.0,5.0,10.0,1075.0,611993.0,2021-01-01,4.423519200910659,0.0,6.918695219020472,-75,17,3,2021
2021-03-17,30196886.0,84.0,1.0,5.0,10.0,1075.0,611993.0,2021-01-01,3.999205348218957,0.0,6.901737206656574,-75,17,3,2021
2021-03-17,30218244.0,84.0,1.0,5.0,41.0,1350.0,611993.0,2019-07-01,4.255324179970539,-0.5108256237659907,7.161916761665792,-625,17,3,2021
2021-03-17,30202870.0,32.0,2.0,5.0,10.0,1340.0,1670798778.0,2021-01-01,1.6540885615735155,1.5040773967762742,6.422217062276239,-75,17,3,2021
